Average_Price,Destination,Source,Weekend_Date
0.0,RIC,BOS,2017-34
1711.0,SAN,BOS,2017-16
585.0,SAN,BOS,2017-17
505.0,SAN,BOS,2017-18
588.5,SAN,BOS,2017-19
451.0,SAN,BOS,2017-20
509.0,SAN,BOS,2017-21
422.3333333333333,SAN,BOS,2017-22
517.0,SAN,BOS,2017-23
531.0,SAN,BOS,2017-24
527.0,SAN,BOS,2017-25
469.0,SAN,BOS,2017-26
548.6666666666666,SAN,BOS,2017-27
582.0,SAN,BOS,2017-28
777.0,SAN,BOS,2017-29
819.0,SAN,BOS,2017-30
697.0,SAN,BOS,2017-31
401.25,SAN,BOS,2017-32
450.0,SAN,BOS,2017-33
496.3333333333333,SAN,BOS,2017-34
0.0,ROC,BOS,2017-16
370.0,ROC,BOS,2017-17
0.0,ROC,BOS,2017-18
367.0,ROC,BOS,2017-19
511.0,ROC,BOS,2017-20
392.0,ROC,BOS,2017-21
0.0,ROC,BOS,2017-22
331.0,ROC,BOS,2017-23
306.0,ROC,BOS,2017-24
0.0,ROC,BOS,2017-25
359.0,ROC,BOS,2017-26
0.0,ROC,BOS,2017-27
0.0,ROC,BOS,2017-28
303.0,ROC,BOS,2017-29
0.0,ROC,BOS,2017-30
0.0,ROC,BOS,2017-31
0.0,ROC,BOS,2017-32
308.0,ROC,BOS,2017-33
0.0,ROC,BOS,2017-34
577.0,SYR,BOS,2017-16
340.0,SYR,BOS,2017-17
254.0,SYR,BOS,2017-18
390.0,SYR,BOS,2017-19
0.0,SYR,BOS,2017-20
349.0,SYR,BOS,2017-21
0.0,SYR,BOS,2017-22
0.0,SYR,BOS,2017-23
336.0,SYR,BOS,2017-24
0.0,SYR,BOS,2017-25
0.0,SYR,BOS,2017-26
0.0,SYR,BOS,2017-27
0.0,SYR,BOS,2017-28
0.0,SYR,BOS,2017-29
0.0,SYR,BOS,2017-30
0.0,SYR,BOS,2017-31
0.0,SYR,BOS,2017-32
0.0,SYR,BOS,2017-33
0.0,SYR,BOS,2017-34
503.0,DCA,BOS,2017-16
351.0,DCA,BOS,2017-17
219.0,DCA,BOS,2017-18
232.5,DCA,BOS,2017-19
237.5,DCA,BOS,2017-20
237.5,DCA,BOS,2017-21
180.0,DCA,BOS,2017-22
182.0,DCA,BOS,2017-23
190.5,DCA,BOS,2017-24
198.0,DCA,BOS,2017-25
